POSTE;DATE;RR1;QRR1;DRR1;QDRR1;HNEIGEF;QHNEIGEF;NEIGETOT;QNEIGETOT;T;QT;TD;QTD;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;DG;QDG;T10;QT10;T20;QT20;T50;QT50;T100;QT100;TNSOL;QTNSOL;TN50;QTN50;TCHAUSSEE;QTCHAUSSEE;TW;QTW;PSTAT;QPSTAT;PMER;QPMER;GEOP;QGEOP;PMERMIN;QPMERMIN;FF;QFF;DD;QDD;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2;QFF2;DD2;QDD2;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;U;QU;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UABS;QUABS;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;DHUMEC;QDHUMEC;TSV;QTSV;ENTH;QENTH;INS;QINS;GLO;QGLO;DIR;QDIR;DIF;QDIF;GLO2;QGLO2;UV;QUV;INFRAR;QINFRAR;UV_INDICE;QUV_INDICE;N;QN;NBAS;QNBAS;CL;QCL;CM;QCM;CH;QCH;N1;QN1;C1;QC1;B1;QB1;N2;QN2;C2;QC2;B2;QB2;N3;QN3;B3;QB3;C3;QC3;N4;QN4;C4;QC4;B4;QB4;WW;QWW;VV;QVV;DVV200;QDVV200;W1;QW1;W2;QW2;SOL;QSOL;SOLNG;QSOLNG;TSNEIGE;QTSNEIGE;TUBENEIGE;QTUBENEIGE;ESNEIGE;QESNEIGE;HNEIGEFI3;QHNEIGEFI3;HNEIGEFI1;QHNEIGEFI1;TMER;QTMER;VVMER;QVVMER;ETATMER;QETATMER;DIRHOULE;QDIRHOULE;TLAGON;QTLAGON;UV2;QUV2;INS2;QINS2;INFRAR2;QINFRAR2;DIR2;QDIR2;DIF2;QDIF2
76217001;2002010100;0,0;1;;;;;;;-1,7;1;-2,4;1;-1,8;1;;;-1,1;1;;;;;;;;;;;;;;;;;;;-1,9;1;1033,0;1;1037,3;1;;;;;4,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;1;;;;;;;;;4,1;1;;;;;;;5,1;1;6,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010101;0,0;1;;;;;;;-3,0;1;-3,7;1;-3,0;1;;;-1,7;1;;;;;;;;;;;;;;;;;;;-3,2;1;1033,0;1;1037,3;1;;;;;4,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;1;;;;;;;;;3,8;1;;;;;;;4,7;1;4,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010102;0,0;1;;;;;;;-3,9;1;-4,4;1;-3,9;1;;;-3,0;1;;;;;;;;;;;;;;;;;;;-4,1;1;1033,5;1;1037,8;1;;;;;5,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,5;1;;;;;;;4,4;1;2,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010103;0,0;1;;;;;;;-4,1;1;-4,5;1;-4,1;1;;;-3,7;1;;;;;;;;;;;;;;;;;;;-4,2;1;1033,7;1;1038,0;1;;;;;4,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;1;;;;;;;;;3,5;1;;;;;;;4,4;1;2,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010104;0,0;1;;;;;;;-4,5;1;-5,0;1;-4,5;1;;;-3,8;1;;;;;;;;;;;;;;;;;;;-4,7;1;1033,4;1;1037,7;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,4;1;;;;;;;4,2;1;1,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010105;0,0;1;;;;;;;-4,8;1;-5,3;1;-4,8;1;;;-4,4;1;;;;;;;;;;;;;;;;;;;-5,0;1;1033,4;1;1037,7;1;;;;;5,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,3;1;;;;;;;4,1;1;1,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010106;0,0;1;;;;;;;-5,1;1;-5,6;1;-5,2;1;;;-4,9;1;;;;;;;;;;;;;;;;;;;-5,3;1;1033,3;1;1037,6;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,2;1;;;;;;;4,0;1;1,0;1;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;20000;1;;;;;;;4;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
76217001;2002010107;0,0;1;;;;;;;-5,1;1;-5,6;1;-5,2;1;;;-5,1;1;;;;;;;;;;;;;;;;;;;-5,3;1;1033,8;1;1038,1;1;;;;;5,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,2;1;;;;;;;4,0;1;1,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010108;0,0;1;;;;;;;-5,2;1;-5,7;1;-5,3;1;;;-5,1;1;;;;;;;;;;;;;;;;;;;-5,3;1;1034,3;1;1038,6;1;;;;;5,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;1;;;;;;;;;3,2;1;;;;;;;4,0;1;0,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010109;0,0;1;;;;;;;-4,8;1;-5,2;1;-5,2;1;;;-4,8;1;;;;;;;;;;;;;;;;;;;-5,0;1;1034,5;1;1038,8;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;1;;;;;;;;;3,3;1;;;;;;;4,1;1;1,5;1;;;;;;;;;;;;;;;;;2;1;;;2;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;10000;1;;;0;1;0;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
76217001;2002010110;0,0;1;;;;;;;-4,0;1;-4,4;1;-4,9;1;;;-4,0;1;;;;;;;;;;;;;;;;;;;-4,1;1;1034,7;1;1039,0;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;1;;;;;;;;;3,5;1;;;;;;;4,4;1;2,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010111;0,0;1;;;;;;;-2,8;1;-3,2;1;-4,1;1;;;-2,8;1;;;;;;;;;;;;;;;;;;;-2,9;1;1034,6;1;1038,9;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;1;;;;;;;;;3,8;1;;;;;;;4,8;1;4,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010112;0,0;1;;;;;;;-0,5;1;-1,3;1;-2,7;1;;;-0,5;1;;;;;;;;;;;;;;;;;;;-0,8;1;1033,7;1;1038,0;1;;;;;3,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;1;;;;;;;;;4,4;1;;;;;;;5,5;1;8,0;1;;;;;;;;;;;;;;;;;1;1;;;2;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;10000;1;;;0;1;0;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
76217001;2002010113;0,0;1;;;;;;;0,8;1;-1,1;1;-0,6;1;;;0,8;1;;;;;;;;;;;;;;;;;;;0,1;1;1033,4;1;1037,6;1;;;;;3,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;1;;;;;;;;;4,4;1;;;;;;;5,6;1;9,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010114;0,0;1;;;;;;;1,3;1;-1,1;1;0,4;1;;;1,4;1;;;;;;;;;;;;;;;;;;;0,4;1;1033,4;1;1037,6;1;;;;;2,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;1;;;;;;;;;4,4;1;;;;;;;5,6;1;10,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010115;0,0;1;;;;;;;1,5;1;-2,3;1;1,3;1;;;1,8;1;;;;;;;;;;;;;;;;;;;0,3;1;1033,4;1;1037,6;1;;;;;2,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;1;;;;;;;;;4,1;1;;;;;;;5,2;1;9,5;1;;;;;;;;;;;;;;;;;1;1;;;2;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;10000;1;;;0;1;0;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
76217001;2002010116;0,0;1;;;;;;;-0,6;1;-3,1;1;-0,6;1;;;1,6;1;;;;;;;;;;;;;;;;;;;-1,4;1;1033,6;1;1037,9;1;;;;;2,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;1;;;;;;;;;3,9;1;;;;;;;4,9;1;6,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010117;0,0;1;;;;;;;-1,8;1;-3,4;1;-1,9;1;;;-0,7;1;;;;;;;;;;;;;;;;;;;-2,3;1;1033,4;1;1037,7;1;;;;;2,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;1;;;;;;;;;3,8;1;;;;;;;4,8;1;5,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;2002010118;0,0;1;;;;;;;-1,6;1;-3,8;1;-2,0;1;;;-1,6;1;;;;;;;;;;;;;;;;;;;-2,3;1;1032,9;1;1037,2;1;;;;;3,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;1;;;;;;;;;3,7;1;;;;;;;4,6;1;5,5;1;;;;;;;;;;;;;;;;;1;1;;;2;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;10000;1;;;0;1;0;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
